original_countryname,original_AddressAlph,original_address_id,original_group,lat,lon,formatted,housenumber,name,street,postcode,district,suburb,county_code,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
United Kingdom,"Devenshire House,Mayfair Place London W1X 5FH",1979,5,51.507423,-0.143072,"Mayfair Place, London, United Kingdom",,,Mayfair Place,,Westminster,Mayfair,,London,London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Devenshire House,Mayfair Place,London W1X 5FH",1980,5,51.507423,-0.143072,"Mayfair Place, London, United Kingdom",,,Mayfair Place,,Westminster,Mayfair,,London,London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Devenshire House,Mayfair Place,London W1X 8AJ",1981,5,51.507423,-0.143072,"Mayfair Place, London, United Kingdom",,,Mayfair Place,,Westminster,Mayfair,,London,London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Devon House,58-60 St.Katharine's Way,London E1W 1LB",1982,5,51.5059304,-0.07110985321575411,"Devon House, 58-60 St. Katharine's Way, London, E1W 1JP, United Kingdom",58-60,Devon House,St. Katharine's Way,E1W 1JP,London Borough of Tower Hamlets,Wapping,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Devonshire House,1 Mayfair Place,London,W1J 8AJ",1983,5,51.5072199,-0.14291,"London, W1J 8AJ, United Kingdom",,,,W1J 8AJ,,,,City of Westminster,Greater London,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dextar House,Royal Mint Court,London,EC3N 4JR",1984,5,51.509301050000005,-0.07227825399325044,"Royal Mint Court, London, EC3N 4JR, United Kingdom",,Royal Mint Court,,EC3N 4JR,London Borough of Tower Hamlets,Whitechapel,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dexter house royal Mint Court,London EC3N 4JR",1985,5,51.509301050000005,-0.07227825399325044,"Royal Mint Court, London, EC3N 4JR, United Kingdom",,Royal Mint Court,,EC3N 4JR,London Borough of Tower Hamlets,Whitechapel,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dexter House Royal Mint Court,London EC3N 4JR",1986,5,51.509301050000005,-0.07227825399325044,"Royal Mint Court, London, EC3N 4JR, United Kingdom",,Royal Mint Court,,EC3N 4JR,London Borough of Tower Hamlets,Whitechapel,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dexter House,Royal Mint Court London,EC3N 4JR",1987,5,51.509301050000005,-0.07227825399325044,"Royal Mint Court, London, EC3N 4JR, United Kingdom",,Royal Mint Court,,EC3N 4JR,London Borough of Tower Hamlets,Whitechapel,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dexter House,Royal Mint Court,London EC3N 4JR",1988,5,51.509301050000005,-0.07227825399325044,"Royal Mint Court, London, EC3N 4JR, United Kingdom",,Royal Mint Court,,EC3N 4JR,London Borough of Tower Hamlets,Whitechapel,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dexter House,Royal Mint Court,London,EC3N 4JR",1989,5,51.509301050000005,-0.07227825399325044,"Royal Mint Court, London, EC3N 4JR, United Kingdom",,Royal Mint Court,,EC3N 4JR,London Borough of Tower Hamlets,Whitechapel,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Digi House,Rockwood Way,Haverhill,Subbolk,CB9 8DG",1990,5,52.076227,0.437969,"Haverhill Civil Parish (Haverhill), CB9 8DG, United Kingdom",,CB9 8DG,,CB9 8DG,Haverhill Civil Parish,,,Haverhill,,,,United Kingdom,gb,0,1,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
United Kingdom,"Digi House,Rockwood Way,Haverhill,Suffolk,CB9 8DG",1991,5,52.075836,0.437996,"Rookwood Way, Haverhill, CB9 8DG, United Kingdom",,,Rookwood Way,CB9 8DG,Haverhill Civil Parish,,SFK,Haverhill,Suffolk,England,ENG,United Kingdom,gb,0.39375,1,0.7875,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"DIGI House,Rockwood Way,Haverhill,Suffolk,CB9 8DG",1992,5,52.075836,0.437996,"Rookwood Way, Haverhill, CB9 8DG, United Kingdom",,,Rookwood Way,CB9 8DG,Haverhill Civil Parish,,SFK,Haverhill,Suffolk,England,ENG,United Kingdom,gb,0.39375,1,0.7875,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dilke House,1 Malet St.,London WC1E 7JN",1993,5,51.5225624,-0.1315004,"Malet Street, London, WC1E 7JN, United Kingdom",,Malet Street,Malet Street,WC1E 7JN,London Borough of Camden,Bloomsbury,,London,Greater London,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dimension Data House,Bldg.2,Waterfront Business Park,Fleet Rd.,Fleet,Hampshire GU51 3QT",1994,5,51.2929232,-0.8068017,"Fleet Road, Hart, GU51 2SH, United Kingdom",,Fleet Road,Fleet Road,GU51 2SH,,Fleet,HAM,Hart,Hampshire,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"DKB House,24 King William St.,London EC4R 9DB",1995,5,51.5107336,-0.086929,"24 King William Street, City of London, EC4R 9AT, United Kingdom",24,24 King William Street,King William Street,EC4R 9AT,,Cornhill,,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"DKB House,24 King William St.,London,EC4R 9DB",1996,5,51.5107336,-0.086929,"24 King William Street, City of London, EC4R 9AT, United Kingdom",24,24 King William Street,King William Street,EC4R 9AT,,Cornhill,,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Doddington Rd.,Lincoln Englad LN6 3RA",1997,5,53.20432,-0.60564,"Lincoln, LN6 3RA, United Kingdom",,,,LN6 3RA,,,LIN,Lincoln,Lincolnshire,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Doddington Rd.,Lincoln England LN6 3RA",1998,5,53.20432,-0.60564,"Lincoln, LN6 3RA, United Kingdom",,,,LN6 3RA,,,LIN,Lincoln,Lincolnshire,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Doddington Rd.,Lincoln,Lincolnshire,LN6 3RA",1999,5,53.20432,-0.60564,"Lincoln, LN6 3RA, United Kingdom",,,,LN6 3RA,,,LIN,Lincoln,Lincolnshire,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Doddington Rd.,Lincoln,LN6 3RA",2000,5,53.20432,-0.60564,"Lincoln, LN6 3RA, United Kingdom",,,,LN6 3RA,,,LIN,Lincoln,Lincolnshire,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dolphin,Industrial Estate,Southampton Rd.,Salisbury Wiltshire SP1 2NB",2001,5,51.0644252,-1.789195,"Southampton Road, Salisbury, SP1 2TF, United Kingdom",,Southampton Road,Southampton Road,SP1 2TF,,Milford,WIL,Salisbury,Wiltshire,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dorand House,18-20,Regent St.,London SW1Y 4PH",2002,5,51.50912,-0.13369,"London, SW1Y 4PH, United Kingdom",,,,SW1Y 4PH,,,,London,Greater London,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dorand House,18-20,Regent St.,London,SW1Y 4PH",2003,5,51.50912,-0.13369,"London, SW1Y 4PH, United Kingdom",,,,SW1Y 4PH,,,,London,Greater London,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dorand House,18-20,Regent St.London,SW1Y 4PH",2004,5,51.50912,-0.13369,"London, SW1Y 4PH, United Kingdom",,,,SW1Y 4PH,,,,London,Greater London,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dorland House 14-16 Regent St.,London,SW1Y 4PH",2005,5,51.50912,-0.13369,"London, SW1Y 4PH, United Kingdom",,,,SW1Y 4PH,,,,London,Greater London,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dorland House,14-20 Regent St.,London,SW1Y 4PH",2006,5,51.50912,-0.13369,"London, SW1Y 4PH, United Kingdom",,,,SW1Y 4PH,,,,London,Greater London,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dorland House,14/20 Regent St.,London SW1",2007,5,51.5095215,-0.1345799,"Regent Street St James's, London, SW1Y 4QE, United Kingdom",,Regent Street St James's,Regent Street St James's,SW1Y 4QE,St. James's,Covent Garden,,London,Greater London,England,ENG,United Kingdom,gb,0.5670000000000001,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dorland House,14/20 Regent St.,London SW1 4PF",2008,5,51.5098447,-0.1362113,"20 Regent Street, London, SW1 4PF, United Kingdom",20,,Regent Street,SW1 4PF,Westminster,Mayfair,,London,London,England,ENG,United Kingdom,gb,0.63,1,1,,,
United Kingdom,"Dorland House,14/20 Regent St.,London SW1 4PH",2009,5,51.5098447,-0.1362113,"20 Regent Street, London, SW1 4PH, United Kingdom",20,,Regent Street,SW1 4PH,Westminster,Mayfair,,London,London,England,ENG,United Kingdom,gb,0.63,1,1,,,
United Kingdom,"Dorland House,18-20,Regent St.London,SW1Y 4PH",2010,5,51.50912,-0.13369,"London, SW1Y 4PH, United Kingdom",,,,SW1Y 4PH,,,,London,Greater London,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dormer Rd.,Thame Oxfordshire OX9 3UN",2011,5,51.73894,-0.9633847,"Dormer Road, South Oxfordshire, OX9 3HD, United Kingdom",,Dormer Road,Dormer Road,OX9 3HD,,,OXF,South Oxfordshire,Oxfordshire,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dormer Rd.,Thame Oxon,OX9 3UN",2012,5,51.73894,-0.9633847,"Dormer Road, South Oxfordshire, OX9 3HD, United Kingdom",,Dormer Road,Dormer Road,OX9 3HD,,,OXF,South Oxfordshire,Oxfordshire,England,ENG,United Kingdom,gb,0.44099999999999995,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dormer Rd.,Thame,Oxfordshire,OX9 3UN",2013,5,51.73894,-0.9633847,"Dormer Road, South Oxfordshire, OX9 3HD, United Kingdom",,Dormer Road,Dormer Road,OX9 3HD,,,OXF,South Oxfordshire,Oxfordshire,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Douglas,Isle of Man",2014,5,55.556821,-3.8480017,"Douglas (Douglas), ML11 0QW, United Kingdom",,Douglas,,ML11 0QW,,,SLK,Douglas,South Lanarkshire,Scotland,SCT,United Kingdom,gb,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Duart House,Finch Way,Strathclyde Business Park,Bellshill,North Lanarkshire Scotland ML4 3PR",2015,5,55.832467,-4.038198,"Strathclyde Business Park, Bellshill, ML4 3PR, United Kingdom",,,Strathclyde Business Park,ML4 3PR,,,SLK,Bellshill,South Lanarkshire,Scotland,SCT,United Kingdom,gb,0.7,0.7,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Duke's Factory,Chiddingstone Causeway,Tonbridge,Kent",2016,5,51.1889529,0.2735876,"Tonbridge (Tonbridge and Malling), TN9 2AN, United Kingdom",,Tonbridge,,TN9 2AN,,,KEN,Tonbridge and Malling,Kent,England,ENG,United Kingdom,gb,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dukes Factory,Chiddingstone Causeway,Tonbridge,Kent",2017,5,51.1889529,0.2735876,"Tonbridge (Tonbridge and Malling), TN9 2AN, United Kingdom",,Tonbridge,,TN9 2AN,,,KEN,Tonbridge and Malling,Kent,England,ENG,United Kingdom,gb,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dukes Factory,Chiddingstone Causeway,Tonbridge,Kent TN11 8JU",2018,5,51.19886,0.16932,"Chiddingstone (Sevenoaks), TN11 8JU, United Kingdom",,,,TN11 8JU,,,KEN,Sevenoaks,Kent,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dukes Factory,Chiddingstone Causeway,Tonbridge,Kent,TN11 8JU",2019,5,51.19886,0.16932,"Chiddingstone (Sevenoaks), TN11 8JU, United Kingdom",,,,TN11 8JU,,,KEN,Sevenoaks,Kent,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dukes Meadow,Millboard Rd.,Bourne End,Buckinghamshire,SL8 5FH",2020,5,51.5778225,-0.7037253,"Millboard Road, Bourne End, SL8 5AL, United Kingdom",,Millboard Road,Millboard Road,SL8 5AL,,Wooburn,BKM,Bourne End,Buckinghamshire,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Dundee,Scotland",2021,5,56.4605938,-2.97019,"Dundee, DD1 1SG, United Kingdom",,Dundee,,DD1 1SG,,,DND,Dundee,Dundee City,Scotland,SCT,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Durham Lane Eaglescliffe,Stockton-on-Tees,TS16 0PS",2022,5,54.53624,-1.36251,"Preston-on-Tees, TS16 0PS, United Kingdom",,,,TS16 0PS,,,STT,Preston-on-Tees,Stockton-on-Tees,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Durham Rd.,Birtley,Chester-le-St.,County Durham,DH3 2QX",2023,5,54.8903603,-1.5798947,"Gateshead, DH3 2QX, United Kingdom",,,,DH3 2QX,,,,Gateshead,North East,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Durham Rd.Birtley,Chester-le-St,Co.Durham DH3 2QX",2024,5,54.8903603,-1.5798947,"Gateshead, DH3 2QX, United Kingdom",,,,DH3 2QX,,,,Gateshead,North East,England,ENG,United Kingdom,gb,0.7234042553191489,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Durham Rd.Birtley,Chester-le-St.,County Durham DH3 2QX",2025,5,54.8903603,-1.5798947,"Gateshead, DH3 2QX, United Kingdom",,,,DH3 2QX,,,,Gateshead,North East,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Durham Rd.Birtley,Chester-le-St.,County Durham,DH3 2QX",2026,5,54.8903603,-1.5798947,"Gateshead, DH3 2QX, United Kingdom",,,,DH3 2QX,,,,Gateshead,North East,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Eagle Court,9 Vine St.,Uxbridge,Middlesex,UB8 1QE",2027,5,51.5445098,-0.4787055,"Total Support Training, 9 Vine Street, London, UB8 1QE, United Kingdom",9,Total Support Training,Vine Street,UB8 1QE,Hillingdon,Willowbank,,London,Greater London,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Eagle House,108-110 Jermyn St.,London SW1Y 6RH",2028,5,51.507885,-0.138279,"Jermyn Street, London, SW1Y 6JE, United Kingdom",,Jermyn Street,Jermyn Street,SW1Y 6JE,St. James's,Mayfair,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,Eckersall Rd.Kings Norton Birmingham,2029,5,52.4796992,-1.9026911,"Birmingham, ENG, United Kingdom",,,,,,,,Birmingham,West Midlands Combined Authority,England,ENG,United Kingdom,gb,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Edinburgh House,4th Fl.,40 Great Portland St,London W1N 5AH",2030,5,51.517271,-0.1411246,"40 Great Portland Street, London, W1W 6PE, United Kingdom",40,,Great Portland Street,W1W 6PE,Westminster,Marylebone,,London,London,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Edinburgh House,4th Floor,40 Great Portland St,London W1N 5AH",2031,5,51.517271,-0.1411246,"40 Great Portland Street, London, W1W 6PE, United Kingdom",40,,Great Portland Street,W1W 6PE,Westminster,Marylebone,,London,London,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"El Fareham Heights Standards Way,Fareham Hampshire PO16,8XT",2032,5,50.8526637,-1.1783134,"yes, Fareham, ENG, United Kingdom",,,,,yes,,HAM,Fareham,Hampshire,England,ENG,United Kingdom,gb,0.16374269005847955,0.2222222222222222,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Eldon Court 75-77,London Rd,Reading,Berkshire,RG1 5BS",2033,5,51.452221,-0.9566602852994568,"Kyocera Document Solutions (UK) Ltd, 75-77 London Road, Reading, RG1 5BS, United Kingdom",75-77,Kyocera Document Solutions (UK) Ltd,London Road,RG1 5BS,Spring Gardens,Newtown,,Reading,,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Eleanor House 35,Eleanor Cross Rd,.Waltham Cross,Hertfordshire EN8 7LF",2034,5,51.6856618,-0.0281896,"Eleanor Cross Road, Waltham Cross, EN8 7WW, United Kingdom",,Eleanor Cross Road,Eleanor Cross Road,EN8 7WW,,,HRT,Waltham Cross,Hertfordshire,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Eleanor House 35,Eleanor Cross Rd.Waltham Cross,Hertfordshire EN8 7LF",2035,5,51.6856618,-0.0281896,"Eleanor Cross Road, Waltham Cross, EN8 7WW, United Kingdom",,Eleanor Cross Road,Eleanor Cross Road,EN8 7WW,,,HRT,Waltham Cross,Hertfordshire,England,ENG,United Kingdom,gb,0.37800000000000006,0.9,0.6000000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Eling Wharf Totton,Southampton,Hampshire,SO40 4TE",2036,5,50.915179550000005,-1.4815527327770377,"Eling Wharf, New Forest, SO40 4TE, United Kingdom",,Eling Wharf,,SO40 4TE,,Totton and Eling,HAM,New Forest,Hampshire,England,ENG,United Kingdom,gb,0.6666666666666667,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Elta House,Yarm Rd.,Stockton-on-Tees,Cleveland TS18 3RX",2037,5,54.5537379,-1.3273928,"Yarm Road, Stockton-on-Tees, TS18 3QA, United Kingdom",,Yarm Road,Yarm Road,TS18 3QA,,Hartwell,STT,Stockton-on-Tees,Stockton-on-Tees,England,ENG,United Kingdom,gb,0.44099999999999995,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Enterprise Dr.,Holmewood Ind.Park Chesterfield,S42 5UW",2038,5,53.18382,-1.347057,"Holmewood Bridleway, Heath and Holmewood, S42 5UW, United Kingdom",,,Holmewood Bridleway,S42 5UW,Heath and Holmewood,,DBY,Heath and Holmewood,Derbyshire,England,ENG,United Kingdom,gb,0,0.08333333333333333,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Enterprise Dr.,Holmfwood Chesterfield S42 5UW",2039,5,53.1934456,-1.3627055,"Enterprise Drive, North East Derbyshire, S42 5BZ, United Kingdom",,Enterprise Drive,Enterprise Drive,S42 5BZ,,Heath and Holmewood,DBY,North East Derbyshire,Derbyshire,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Enterprise Dr.,Holmfwood Chesterfield,S42 5UW",2040,5,53.1934456,-1.3627055,"Enterprise Drive, North East Derbyshire, S42 5BZ, United Kingdom",,Enterprise Drive,Enterprise Drive,S42 5BZ,,Heath and Holmewood,DBY,North East Derbyshire,Derbyshire,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Enterprise Dr.,Holmfwood Ind.Park Chesterfield,S42 5UW",2041,5,53.245664,-1.442264,"Chesterfield, S42 5UW, United Kingdom",,,,S42 5UW,,,DBY,Chesterfield,Derbyshire,England,ENG,United Kingdom,gb,0.25,1,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
United Kingdom,"Enterprise House,Ocean Way,Ocean Village,Southampton,Hampshire,SO14 3XB",2042,5,50.8957665,-1.3941621,"Ocean Way, Southampton, SO14 3QR, United Kingdom",,Ocean Way,Ocean Way,SO14 3QR,,Ocean Village,,Southampton,,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Enterprise House,Ocean Way,Ocean Village,Southampton,SO14 3XB",2043,5,50.8957665,-1.3941621,"Ocean Way, Southampton, SO14 3QR, United Kingdom",,Ocean Way,Ocean Way,SO14 3QR,,Ocean Village,,Southampton,,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Enterprise Park,Swansea,West Glamorgan,SA7 9FJ",2044,5,51.6556297,-3.9083084,"Flotek Swansea, Swansea, SA7 9FG, United Kingdom",,Flotek Swansea,,SA7 9FG,,Llansamlet,SWA,,Swansea,Wales,WLS,United Kingdom,gb,0,0.9,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Enterprise Park,Swansea,West Glamrgan SA7 9FJ",2045,5,54.186633,-6.31632,"Ashtree Enterprise Park, Newry, Mourne and Down, United Kingdom",,,Ashtree Enterprise Park,,,,,,"Newry, Mourne and Down",Northern Ireland,NIR,United Kingdom,gb,0.6906976744186047,0.05714285714285714,0.05142857142857143,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Enterprise Park,Swansea,West Glamrgan,SA7 9FJ",2046,5,51.146258,0.858699,"Chart Enterprise Park, Ashford, United Kingdom",,,Chart Enterprise Park,,,,KEN,Ashford,Kent,England,ENG,United Kingdom,gb,0.6000000000000001,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Environ House,Welshman's Lane Nantwich,Cheshire CW5 6AB",2047,5,53.0722409,-2.535214166543674,"Welshman's Lane, Nantwich, CW5 6AB, United Kingdom",,Welshman's Lane,,CW5 6AB,,Kingsbourne,CHE,Nantwich,Cheshire East,England,ENG,United Kingdom,gb,0.45,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Ernesettle Lane,Ernesettle Plymouth,Devon,PL5 2SA",2048,5,50.4200951,-4.1879814,"Ernesettle Lane, Plymouth, PL5 2SA, United Kingdom",,Ernesettle Lane,Ernesettle Lane,PL5 2SA,,Ernesettle,,Plymouth,,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Ernesettle,Lane Ernesettle Plymouth,Devon PL5 2SA",2049,5,50.4200951,-4.1879814,"Ernesettle Lane, Plymouth, PL5 2SA, United Kingdom",,Ernesettle Lane,Ernesettle Lane,PL5 2SA,,Ernesettle,,Plymouth,,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Ernesettle,Lane Ernesettle Plymouth,Devon,PL5 2SA",2050,5,50.4200951,-4.1879814,"Ernesettle Lane, Plymouth, PL5 2SA, United Kingdom",,Ernesettle Lane,Ernesettle Lane,PL5 2SA,,Ernesettle,,Plymouth,,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Ernesettle,Plymouth,Devon,PL5 2SA",2051,5,50.42059,-4.18695,"Plymouth, PL5 2SA, United Kingdom",,,,PL5 2SA,,Ernesettle,,Plymouth,,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Ernst & Young Rolls House 7 Rolls Bldg.,Fetter Lane,London EC4A 1NH",2052,5,51.5157816,-0.1091368,"Fetter Lane, City of London, EC4A 1AG, United Kingdom",,Fetter Lane,Fetter Lane,EC4A 1AG,,Blackfriars,,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Etel House Ave.One Letchworth Garden City Hertfordshire,SG6 2HU",2053,5,51.9809902,-0.2077187,"Avenue One, North Hertfordshire, SG6 2HU, United Kingdom",,Avenue One,Avenue One,SG6 2HU,Phoenix Park Estate,Jubilee Industrial Centre,HRT,North Hertfordshire,Hertfordshire,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
